id_dokumenta,prejeto,,placnik,prejemnik,referenca_dobro,znesek,datum_placila,zastopnik_dolznika,upnik_trr,upnik_banka,dolznik_trr,dolznik_banka
10027933,2017-05-31,14:38:35,OBČINA IZOLA,PROSTOVOLJNO GASILSKO DRUŠTVO KORTE,SI0010-2017,109.57,2017-06-16,Kolenc Igor,SI56101000029032483,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10029069,2017-05-31,15:17:10,OBČINA IZOLA,JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,SI125001701925843,4.60,2017-06-30,Kolenc Igor,SI56101000000055382,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10031365,2017-05-31,17:10:44,OBČINA IZOLA,NANA POVŠIČ RUŽIĆ - NOTARKA,,423.34,,Kolenc Igor,SI56101000043420881,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10032118,2017-05-31,17:24:41,OBČINA IZOLA,NOVI PARADOKS - SLOVENSKO DRUŠTVO ZA KAKOVOST ŽIVLJENJA,SI00148-0000599,582.78,2017-07-10,Kolenc Igor,SI56020530253801366,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10035735,2017-05-31,20:55:49,OBČINA IZOLA,Banka Intesa Sanpaolo d.d.,SI99,0.45,,Kolenc Igor,SI56101111020304044,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10038136,2017-06-01,06:53:59,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510008974,20.00,2017-06-06,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,UJPLSI2DICL
10039630,2017-06-01,08:04:32,OBČINA IZOLA,OSNOVNA ŠOLA KOPER SCUOLA ELEMENTARE CAPODISTRIA,SI00367-0023000,2577.00,2017-07-05,Kolenc Igor,SI56012506000000627,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10041055,2017-06-01,09:06:21,OBČINA IZOLA,SKAT - Trgovina d.o.o.,SI006889-1001267,269.89,2017-07-21,Kolenc Igor,SI56101000000034915,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10045850,2017-06-01,10:56:51,OBČINA IZOLA,SIUS storitve in svetovanje d.o.o.,,183.00,,Kolenc Igor,SI56101000039764078,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046247,2017-06-01,11:08:24,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253620210,4.20,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046248,2017-06-01,11:08:24,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253620228,24.56,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046252,2017-06-01,11:08:25,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253620910,72.03,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046288,2017-06-01,11:08:32,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253620929,143.62,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046551,2017-06-01,11:19:45,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253625416,461.90,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046595,2017-06-01,11:19:54,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253625408,64.69,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10046596,2017-06-01,11:19:54,OBČINA IZOLA,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.",SI12253625602,5.03,,Kolenc Igor,SI56101000029080595,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10048123,2017-06-01,12:06:54,OBČINA IZOLA,Intermatic inženiring & consulting d.o.o.,SI121730000211003,2533.94,2017-07-21,Kolenc Igor,SI56031311005710295,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10048303,2017-06-01,12:12:40,OBČINA IZOLA,Intermatic inženiring & consulting d.o.o.,SI121730000213006,2533.94,2017-07-21,Kolenc Igor,SI56031311005710295,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10048489,2017-06-01,12:18:20,OBČINA IZOLA,CENTER JEREB prodaja in servisiranje vozil d.o.o.,,240.52,,Kolenc Igor,SI56031351000298760,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10049094,2017-06-01,12:40:10,OBČINA IZOLA,"LANDER INN, prevozi, turizem, trgovina, d.o.o.",SI00171-2017,400.00,2017-07-07,Kolenc Igor,SI56101000032622938,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10050502,2017-06-01,13:19:04,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510009547,4851.61,2017-06-28,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10050992,2017-06-01,13:19:52,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510008974,17.41,2017-06-08,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10051031,2017-06-01,13:19:56,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510009547,6.12,,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10051479,2017-06-01,13:20:51,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510009598,0.04,,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10051513,2017-06-01,13:20:55,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510009130,706.25,2017-06-27,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10051526,2017-06-01,13:20:56,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510008974,442.58,2017-06-08,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10051541,2017-06-01,13:20:58,OBČINA IZOLA,"BKS BANK AG, Bančna podružnica",SI05100010512-510009598,13.34,2017-06-08,Kolenc Igor,SI56350013500100091,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10054246,2017-06-01,14:04:45,OBČINA IZOLA,"ODVETNIŠKA DRUŽBA MONIKA MAVSAR o.p., d.o.o.",SI002017-249,7564.00,2017-07-21,Kolenc Igor,SI56022370259664827,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10054314,2017-06-01,14:09:17,OBČINA IZOLA,"JAVNI ZAVOD GASILSKA BRIGADA KOPER ENTE PUBBLICO VIGILI DEL FUOCO, CAPODISTRIA",SI0028-599-17,25000.00,2017-07-28,Kolenc Igor,SI56012506030194302,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10054968,2017-06-01,14:31:07,OBČINA IZOLA,DOM UPOKOJENCEV IZOLA - Casa del pensionato Isola,SI128804017013412,4428.05,2017-07-21,Kolenc Igor,SI56011006030265575,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10059625,2017-06-01,17:29:31,OBČINA IZOLA,"GRAFIST, gradbeništvo, trgovina in storitve, d.o.o.",SI00546-17-9390,25749.80,,Kolenc Igor,SI56022360050927084,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10059809,2017-06-01,17:29:51,OBČINA IZOLA,Banka Intesa Sanpaolo d.d.,SI99,5.59,,Kolenc Igor,SI56101111020304044,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10060802,2017-06-01,17:31:45,OBČINA IZOLA,"CENTER ZA STAREJŠE OBČANE LUCIJA, oskrba in varstvo starejših oseb in druge storitve d.o.o.",SI00010117001050,760.77,2017-07-21,Kolenc Igor,SI56101000039480547,BAKOSI2XXXX,SI56012400100006381,UJPLSI2DICL
10061221,2017-06-01,17:32:32,OBČINA IZOLA,"DEOS, celostna oskrba starostnikov, d.o.o.",SI00030117001064,683.36,,Kolenc Igor,SI56029240018554445,LJBASI2XXXX,SI56012400100006381,UJPLSI2DICL
10061538,2017-06-01,18:07:35,OBČINA IZOLA,Zasebni zavod Mali Mehurčki Koper,SI00154-17,314.46,2017-07-05,Kolenc Igor,SI56101000053669222,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10062567,2017-06-01,20:50:56,OBČINA IZOLA,"ARRIVA DOLENJSKA IN PRIMORSKA, družba za prevoz potnikov, d.o.o.",SI007-1700290,403.20,2017-07-14,Kolenc Igor,SI56031351000007275,SKBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10067788,2017-06-02,08:55:57,OBČINA IZOLA,"COPIA BIRO, prodaja, servis, fotokopiranje d.o.o.",,735.28,,Kolenc Igor,SI56610000005360179,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10068559,2017-06-02,09:13:12,OBČINA IZOLA,NANA POVŠIČ RUŽIĆ - NOTARKA,,51.24,,Kolenc Igor,SI56101000043420881,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10069132,2017-06-02,09:35:10,OBČINA IZOLA,ZASEBNI ZDRAVSTVENI ZAVOD PEŠIĆ - IZOLA,SI0027-17,100.80,2017-07-10,Kolenc Igor,SI56101000037986262,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10076306,2017-06-02,12:59:23,OBČINA IZOLA,OSNOVNA ŠOLA IVANA BABIČA-JAGRA MAREZIGE,SI120007100010047,194.51,2017-07-10,Kolenc Igor,SI56012506030656604,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10076848,2017-06-02,13:10:36,OBČINA IZOLA,SUMMIT LEASING SLOVENIJA d.o.o.,SI129999005082017,419.14,2017-06-21,Kolenc Igor,SI56029220254430704,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10077005,2017-06-02,13:10:56,OBČINA IZOLA,DELAVSKA HRANILNICA d.d. LJUBLJANA,SI003-51-20084,960.49,2017-06-28,Kolenc Igor,SI56610006100000062,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10077112,2017-06-02,13:11:08,OBČINA IZOLA,DELAVSKA HRANILNICA d.d. LJUBLJANA,SI003-51-20074,2003.96,2017-06-28,Kolenc Igor,SI56610006100000062,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10077170,2017-06-02,13:11:14,OBČINA IZOLA,"PORSCHE LEASING SLO d.o.o. firma za leasing, Ljubljana",SI128101116719678,191.53,2017-07-10,Kolenc Igor,SI56290000003155073,BACXSI22XXX,SI56012400100006381,BSLJSI2XXXX
10077509,2017-06-02,13:11:55,OBČINA IZOLA,"Vantage Leasing, družba za financiranje, consulting in trgovino, d.o.o. - v likvidaciji",SI129271400602663,206.83,2017-06-16,Kolenc Igor,SI56300000080057434,SABRSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10079084,2017-06-02,13:56:19,OBČINA IZOLA,POŠTA SLOVENIJE d.o.o.,SI05171606949-102593-16,1134.05,2017-07-10,Kolenc Igor,SI56045150001110867,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10079152,2017-06-02,13:56:30,OBČINA IZOLA,POŠTA SLOVENIJE d.o.o.,SI05171606973-102593-16,1013.24,2017-07-10,Kolenc Igor,SI56045150001110867,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10080422,2017-06-02,14:36:03,OBČINA IZOLA,"G-REGA, Zavod za rekreacijo, šport in prosti čas",SI001293-2017,382.17,2017-07-05,Kolenc Igor,SI56020430090923239,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10083259,2017-06-02,17:39:08,OBČINA IZOLA,"NEPREMIČNINSKI SKLAD POKOJNINSKEGA IN INVALIDSKEGA ZAVAROVANJA, d.o.o.",SI00201730001054,82.01,,Kolenc Igor,SI56051008010457659,ABANSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10085291,2017-06-02,17:43:03,OBČINA IZOLA,"UNISTAR LC, zastopstvo, izdelava in vzdrževanje računalniške opreme in računalniških aplikacij d.o.o. Ljubljana",SI00007630-35-17000803,3005.93,2017-07-21,Kolenc Igor,SI56330000004645418,HAABSI22XXX,SI56012400100006381,BSLJSI2XXXX
10085744,2017-06-02,17:43:57,OBČINA IZOLA,Banka Intesa Sanpaolo d.d.,SI127000017092245,30.80,2017-07-04,Kolenc Igor,SI56101111020304044,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10086092,2017-06-02,18:18:39,OBČINA IZOLA,"MK PROJEKT, družba za svetovanje in vodenje projektov, d.o.o.",SI00032-2017,18836.80,,Kolenc Igor,SI56290000050981408,BACXSI22XXX,SI56012400100006381,BSLJSI2XXXX
10088364,2017-06-02,21:17:18,OBČINA IZOLA,"TALPAS, informacijske storitve d.o.o.",SI001700640,36.60,2017-07-14,Kolenc Igor,SI56610000012624509,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10088452,2017-06-02,21:17:36,OBČINA IZOLA,ABANKA d.d.,SI05948861-873969-20,2382.20,2017-06-16,Kolenc Igor,SI56010000000500021,ABANSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10090899,2017-06-03,00:37:48,OBČINA IZOLA,"PETROL, Slovenska energetska družba, d.d., Ljubljana",SI05700486718534,85.54,2017-07-04,Kolenc Igor,SI56290000101824249,BACXSI22XXX,SI56012400100006381,BSLJSI2XXXX
10093198,2017-06-03,06:45:24,OBČINA IZOLA,"BLIM računalniški inženiring, razvoj in prevajanje d.o.o.",SI000171552017,113.45,2017-07-21,Kolenc Igor,SI56610000011837548,HDELSI22XXX,SI56012400100006381,BSLJSI2XXXX
10093304,2017-06-03,06:45:45,OBČINA IZOLA,ABANKA d.d.,SI05100340-0044-1716883,516.67,2017-06-16,Kolenc Igor,SI56010000000500021,ABANSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10094235,2017-06-03,10:50:44,OBČINA IZOLA,POSLOVNI SISTEM MERCATOR d.d.,SI015361-170976242-5,25.34,,Kolenc Igor,SI56029220015960569,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10096288,2017-06-03,13:18:01,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI120150381411833,11.60,2017-07-04,Kolenc Igor,SI56051008012087356,ABANSI2XXXX,SI56012400100006381,UJPLSI2DICL
10097353,2017-06-03,13:20:39,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI120150381493449,11.60,2017-07-04,Kolenc Igor,SI56051008012087356,ABANSI2XXXX,SI56012400100006381,UJPLSI2DICL
10097892,2017-06-03,13:22:03,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI120150382018167,43.58,2017-07-04,Kolenc Igor,SI56051008012087356,ABANSI2XXXX,SI56012400100006381,UJPLSI2DICL
10097943,2017-06-03,13:22:11,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI120150381428086,23.20,2017-07-04,Kolenc Igor,SI56051008012087356,ABANSI2XXXX,SI56012400100006381,UJPLSI2DICL
10098697,2017-06-03,13:24:06,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI120150381747092,1395.90,2017-07-04,Kolenc Igor,SI56051008012087356,ABANSI2XXXX,SI56012400100006381,UJPLSI2DICL
10100408,2017-06-03,17:01:24,OBČINA IZOLA,"TELEKOM SLOVENIJE, d.d.",SI122170510055880,4.11,,Kolenc Igor,SI56029220011058965,LJBASI2XXXX,SI56012400100006381,UJPLSI2DICL
10107592,2017-06-05,09:38:16,OBČINA IZOLA,SKAT - Trgovina d.o.o.,SI007045-1001267,997.48,2017-07-21,Kolenc Igor,SI56101000000034915,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10108596,2017-06-05,10:01:30,OBČINA IZOLA,"OMV SLOVENIJA, trgovina z nafto in naftnimi derivati, d.o.o.",SI009700644-7057127771,445.98,2017-07-10,Kolenc Igor,SI56101000000020947,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10111073,2017-06-05,10:44:31,OBČINA IZOLA,"ZASEBNI VRTEC RAČKA, d.o.o.",SI002017185,627.65,2017-07-05,Kolenc Igor,SI56043210001848746,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10112479,2017-06-05,11:06:39,OBČINA IZOLA,"TUŽIN, inženiring, projektiranje in veterinarstvo d.o.o.",SI0027-2017,915.00,2017-07-21,Kolenc Igor,SI56101000054703727,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10113341,2017-06-05,11:35:23,OBČINA IZOLA,"JAVNI ZAVOD GASILSKA BRIGADA KOPER ENTE PUBBLICO VIGILI DEL FUOCO, CAPODISTRIA",SI0028-616-17,754.99,2017-07-05,Kolenc Igor,SI56012506030194302,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10114818,2017-06-05,12:04:16,OBČINA IZOLA,MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA,SI99,94.05,,Kolenc Igor,SI56012400000633373,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10117043,2017-06-05,12:29:01,OBČINA IZOLA,Ozara Slovenija nacionalno združenje za kakovost življenja,SI120058201204298,240.43,2017-07-21,Kolenc Igor,SI56350010001158286,BFKKSI22XXX,SI56012400100006381,BSLJSI2XXXX
10117956,2017-06-05,13:01:27,OBČINA IZOLA,"Dom upokojencev Idrija, oskrba in varstvo starostnikov, d.o.o.",SI00020117000995,339.43,2017-07-21,Kolenc Igor,SI56047520001922008,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10120920,2017-06-05,13:59:16,OBČINA IZOLA,SCUOLA ELEMENTARE DANTE ALIGHIERI ISOLA - OSNOVNA ŠOLA DANTE ALIGHIERI IZOLA,SI0000-27-0100006,1253.04,2017-07-05,Kolenc Igor,SI56012406030653602,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10120921,2017-06-05,13:59:18,OBČINA IZOLA,SCUOLA ELEMENTARE DANTE ALIGHIERI ISOLA - OSNOVNA ŠOLA DANTE ALIGHIERI IZOLA,SI0000-30-0100006,1216.36,2017-07-05,Kolenc Igor,SI56012406030653602,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10121027,2017-06-05,14:02:05,OBČINA IZOLA,JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,SI121212201704739,77.54,2017-07-10,Kolenc Igor,SI56101000000055382,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10121930,2017-06-05,14:18:44,OBČINA IZOLA,VRTEC SEŽANA,SI0000-220505-0012025,1054.17,2017-07-05,Kolenc Igor,SI56013116030641490,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10122841,2017-06-05,14:35:02,OBČINA IZOLA,VRTEC MORJE LUCIJA - SCUOLA DELL' INFANZIA MORJE LUCIA,SI0042-0000369,3302.47,2017-07-05,Kolenc Igor,SI56012906030640482,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10123717,2017-06-05,14:46:17,OBČINA IZOLA,"RADIOTELEVIZIJA SLOVENIJA javni zavod, Ljubljana",SI121012852030673,15.08,,Kolenc Igor,SI56011008493106536,BSLJSI2XXXX,SI56012400100006381,UJPLSI2DICL
10127106,2017-06-05,15:49:04,OBČINA IZOLA,NANA POVŠIČ RUŽIĆ - NOTARKA,,51.24,,Kolenc Igor,SI56101000043420881,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10127207,2017-06-05,15:52:26,OBČINA IZOLA,CENTER ZA SOCIALNO DELO IZOLA,SI99,358.38,,Kolenc Igor,SI56011006030302241,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10127540,2017-06-05,15:57:54,OBČINA IZOLA,CENTER ZA SOCIALNO DELO IZOLA,SI99,19496.40,,Kolenc Igor,SI56011006030302241,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10127586,2017-06-05,15:59:20,OBČINA IZOLA,CENTER ZA SOCIALNO DELO IZOLA,SI99,541.67,,Kolenc Igor,SI56011006030302241,BSLJSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10132675,2017-06-05,18:32:43,OBČINA IZOLA,KLAVDIJA KERIN - ODVETNICA,SI0006-2017,485.32,2017-07-21,Kolenc Igor,SI56029820256636745,LJBASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10132759,2017-06-05,18:32:53,OBČINA IZOLA,Banka Intesa Sanpaolo d.d.,SI99,4.70,,Kolenc Igor,SI56101111020304044,BAKOSI2XXXX,SI56012400100006381,BSLJSI2XXXX
10134290,2017-06-05,18:35:30,OBČINA IZOLA,"E 3, ENERGETIKA, EKOLOGIJA, EKONOMIJA, d.o.o.",SI124786895251606,34.47,2017-07-10,Kolenc Igor,SI56047500001868368,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
10138673,2017-06-05,18:42:40,OBČINA IZOLA,"Elektro Maribor Energija plus, podjetje za trženje energije in storitev d.o.o.",SI123400007946415,6.69,2017-07-10,Kolenc Igor,SI56045150001853305,KBMASI2XXXX,SI56012400100006381,BSLJSI2XXXX
